order,id,date,time,title,url,visitCount,typedCount,transition
0,1,2025-01-01,08:52:24,Google Scholar: Deep Learning Transformers,https://scholar.google.com/scholar?q=deep+learning+transformers,5,0,link
1,2,2025-01-01,08:49:49,Artificial Intelligence - Journal - Elsevier,https://www.journals.elsevier.com/artificial-intelligence,4,0,link
2,3,2025-01-01,08:49:31,Google Scholar: Deep Learning Transformers,https://scholar.google.com/scholar?q=deep+learning+transformers,3,0,generated
3,4,2025-01-01,08:44:02,Organic Chemistry Textbooks - Amazon,https://www.amazon.com/textbooks/s?k=organic+chemistry,5,0,link
4,5,2025-01-01,08:45:26,Organic Chemistry Textbooks - Amazon,https://www.amazon.com/textbooks/s?k=organic+chemistry,1,0,generated
5,6,2025-01-01,08:41:14,The Historical Development of Quantum Theory | JSTOR,https://www.jstor.org/stable/j.ctt7st2s,5,0,link
6,7,2025-01-01,08:39:11,Multivariable Calculus | Khan Academy,https://www.khanacademy.org/math/calculus-3/multivariable-derivatives,4,0,link
7,8,2025-01-01,08:40:19,Gmail: Inbox,https://mail.google.com/mail/u/0/#inbox,5,0,link
8,9,2025-01-01,08:36:43,Organic Chemistry Textbooks - Amazon,https://www.amazon.com/textbooks/s?k=organic+chemistry,3,0,link
9,10,2025-01-01,08:33:12,Algorithms Specialization - Coursera,https://www.coursera.org/learn/algorithms,2,0,typed
10,11,2025-01-01,08:31:42,Introduction to Python Programming | edX,https://www.edx.org/course/introduction-to-python,2,0,link
11,12,2025-01-01,08:27:02,Introduction to Python Programming | edX,https://www.edx.org/course/introduction-to-python,3,0,generated
12,13,2025-01-01,08:25:18,Multivariable Calculus | Khan Academy,https://www.khanacademy.org/math/calculus-3/multivariable-derivatives,2,0,form_submit
13,14,2025-01-01,08:26:13,Multivariable Calculus | Khan Academy,https://www.khanacademy.org/math/calculus-3/multivariable-derivatives,1,0,generated
14,15,2025-01-01,08:27:26,Academic Programs - Harvard School of Engineering,https://www.harvard.edu/academics/computer-science/,5,0,link
15,16,2025-01-01,08:28:49,Academic Programs - Harvard School of Engineering,https://www.harvard.edu/academics/computer-science/,4,0,link
16,17,2025-01-01,08:25:33,MIT Computer Science and Artificial Intelligence Laboratory (CSAIL),https://www.mit.edu/research/robotics/,5,0,link
17,18,2025-01-01,08:16:32,X (Twitter): Home,https://twitter.com/home,2,0,form_submit
18,19,2025-01-01,08:21:39,Multivariable Calculus | Khan Academy,https://www.khanacademy.org/math/calculus-3/multivariable-derivatives,4,0,link
19,20,2025-01-01,08:20:41,CNN Breaking News and Video,https://www.cnn.com/,5,0,link
20,21,2025-01-01,08:10:43,The Historical Development of Quantum Theory | JSTOR,https://www.jstor.org/stable/j.ctt7st2s,1,0,reload
21,22,2025-01-01,08:07:08,Amazon.com: Online Shopping,https://www.amazon.com/,4,0,link
22,23,2025-01-01,08:11:53,The Weather Channel - Weather.com,https://www.weather.com/,1,0,link
23,24,2025-01-01,08:08:59,Call for Papers AI Ethics 2025,https://www.google.com/search?q=call+for+papers+ai+2025,1,0,link
24,25,2025-01-01,08:04:27,The Historical Development of Quantum Theory | JSTOR,https://www.jstor.org/stable/j.ctt7st2s,3,0,typed
25,26,2025-01-01,08:03:29,Academic Programs - Harvard School of Engineering,https://www.harvard.edu/academics/computer-science/,1,0,link
26,27,2025-01-01,07:58:18,Artificial Intelligence - Journal - Elsevier,https://www.journals.elsevier.com/artificial-intelligence,5,0,typed
27,28,2025-01-01,07:55:25,Organic Chemistry Textbooks - Amazon,https://www.amazon.com/textbooks/s?k=organic+chemistry,3,0,link
28,29,2025-01-01,07:56:50,Multivariable Calculus | Khan Academy,https://www.khanacademy.org/math/calculus-3/multivariable-derivatives,4,0,form_submit
29,30,2025-01-01,07:59:31,Call for Papers AI Ethics 2025,https://www.google.com/search?q=call+for+papers+ai+2025,3,0,generated
30,31,2025-01-01,07:55:23,CNN Breaking News and Video,https://www.cnn.com/,2,0,form_submit
31,32,2025-01-01,07:55:44,Introduction to Python Programming | edX,https://www.edx.org/course/introduction-to-python,1,0,link
32,33,2025-01-01,07:46:37,Introduction to Python Programming | edX,https://www.edx.org/course/introduction-to-python,3,0,link
33,34,2025-01-01,07:47:07,Call for Papers AI Ethics 2025,https://www.google.com/search?q=call+for+papers+ai+2025,2,0,link
34,35,2025-01-01,07:46:29,Amazon.com: Online Shopping,https://www.amazon.com/,4,0,generated
35,36,2025-01-01,07:44:20,MIT Computer Science and Artificial Intelligence Laboratory (CSAIL),https://www.mit.edu/research/robotics/,4,0,typed
36,37,2025-01-01,07:44:49,Artificial Intelligence - Journal - Elsevier,https://www.journals.elsevier.com/artificial-intelligence,4,0,generated
37,38,2025-01-01,07:43:54,Introduction to Python Programming | edX,https://www.edx.org/course/introduction-to-python,1,0,reload
38,39,2025-01-01,07:36:42,CNN Breaking News and Video,https://www.cnn.com/,3,0,link
39,40,2025-01-01,07:40:40,X (Twitter): Home,https://twitter.com/home,4,0,link
40,41,2025-01-01,07:38:18,Google Scholar: Deep Learning Transformers,https://scholar.google.com/scholar?q=deep+learning+transformers,1,0,link
41,42,2025-01-01,07:30:20,Gmail: Inbox,https://mail.google.com/mail/u/0/#inbox,2,0,link
42,43,2025-01-01,07:26:17,Google Scholar: Deep Learning Transformers,https://scholar.google.com/scholar?q=deep+learning+transformers,1,0,link
43,44,2025-01-01,07:31:10,MIT Computer Science and Artificial Intelligence Laboratory (CSAIL),https://www.mit.edu/research/robotics/,2,0,link
44,45,2025-01-01,07:25:36,Multivariable Calculus | Khan Academy,https://www.khanacademy.org/math/calculus-3/multivariable-derivatives,1,0,link
45,46,2025-01-01,07:21:47,Algorithms Specialization - Coursera,https://www.coursera.org/learn/algorithms,5,0,link
46,47,2025-01-01,07:22:45,MIT Computer Science and Artificial Intelligence Laboratory (CSAIL),https://www.mit.edu/research/robotics/,3,0,link
47,48,2025-01-01,07:15:48,Introduction to Python Programming | edX,https://www.edx.org/course/introduction-to-python,5,0,link
48,49,2025-01-01,07:22:47,The Weather Channel - Weather.com,https://www.weather.com/,1,0,link
49,50,2025-01-01,07:14:51,Artificial Intelligence - Journal - Elsevier,https://www.journals.elsevier.com/artificial-intelligence,3,0,link
50,51,2025-01-01,07:14:08,Google Scholar: Deep Learning Transformers,https://scholar.google.com/scholar?q=deep+learning+transformers,4,0,link
51,52,2025-01-01,07:08:10,ResearchGate - AI Ethics in Healthcare,https://www.researchgate.net/project/AI-ethics-in-healthcare,4,0,link
