order,id,date,time,title,url,visitCount,typedCount,transition
0,1,2025-01-01,08:52:19,Best Thai Fusion Near Me - Yelp,https://www.yelp.com/search?find_desc=thai+fusion,1,0,link
1,2,2025-01-01,08:47:20,Mastering Knife Skills: A Beginner's Guide,https://www.gourmetsleuth.com/articles/techniques/knife-skills,3,0,typed
2,3,2025-01-01,08:48:16,Mastering Knife Skills: A Beginner's Guide,https://www.gourmetsleuth.com/articles/techniques/knife-skills,5,0,link
3,4,2025-01-01,08:48:29,Chopped TV Show - Food Network,https://www.foodnetwork.com/shows/chopped,2,0,typed
4,5,2025-01-01,08:41:53,Amazon.com: Online Shopping,https://www.amazon.com/,4,0,link
5,6,2025-01-01,08:47:13,The Weather Channel - Weather.com,https://www.weather.com/,4,0,typed
6,7,2025-01-01,08:46:15,The Best Chocolate Chip Cookies Recipe - Allrecipes,https://www.allrecipes.com/recipe/best-chocolate-chip-cookies/,3,0,generated
7,8,2025-01-01,08:38:02,Best Thai Fusion Near Me - Yelp,https://www.yelp.com/search?find_desc=thai+fusion,4,0,link
8,9,2025-01-01,08:40:07,The Food Lab's Guide to Sous Vide Steak - Serious Eats,https://www.seriouseats.com/how-to-sous-vide-steak,4,0,link
9,10,2025-01-01,08:33:26,Bon Appétit | Cacio e Pepe Recipe,https://www.bonappetit.com/recipe/cacio-e-pepe,3,0,link
10,11,2025-01-01,08:29:40,The Weather Channel - Weather.com,https://www.weather.com/,5,0,link
11,12,2025-01-01,08:33:00,Amazon.com: Online Shopping,https://www.amazon.com/,1,0,link
12,13,2025-01-01,08:28:22,Mastering Knife Skills: A Beginner's Guide,https://www.gourmetsleuth.com/articles/techniques/knife-skills,1,0,generated
13,14,2025-01-01,08:31:39,KitchenAid Stand Mixer - Amazon.com,https://www.amazon.com/KitchenAid-Stand-Mixer/dp/B008C23,4,0,generated
14,15,2025-01-01,08:29:16,The Weather Channel - Weather.com,https://www.weather.com/,4,0,link
15,16,2025-01-01,08:19:23,Main Dish Recipes - Epicurious,https://www.epicurious.com/recipes/main-dishes,1,0,link
16,17,2025-01-01,08:21:43,The Weather Channel - Weather.com,https://www.weather.com/,2,0,generated
17,18,2025-01-01,08:22:45,Mastering Knife Skills: A Beginner's Guide,https://www.gourmetsleuth.com/articles/techniques/knife-skills,1,0,link
18,19,2025-01-01,08:19:22,Chopped TV Show - Food Network,https://www.foodnetwork.com/shows/chopped,1,0,link
19,20,2025-01-01,08:12:51,Bon Appétit | Cacio e Pepe Recipe,https://www.bonappetit.com/recipe/cacio-e-pepe,2,0,typed
20,21,2025-01-01,08:10:31,Mastering Knife Skills: A Beginner's Guide,https://www.gourmetsleuth.com/articles/techniques/knife-skills,3,0,link
21,22,2025-01-01,08:12:42,The Best Chocolate Chip Cookies Recipe - Allrecipes,https://www.allrecipes.com/recipe/best-chocolate-chip-cookies/,5,0,generated
22,23,2025-01-01,08:06:09,Bon Appétit | Cacio e Pepe Recipe,https://www.bonappetit.com/recipe/cacio-e-pepe,1,0,link
23,24,2025-01-01,08:07:10,Chopped TV Show - Food Network,https://www.foodnetwork.com/shows/chopped,3,0,link
24,25,2025-01-01,08:09:06,The Weather Channel - Weather.com,https://www.weather.com/,5,0,link
25,26,2025-01-01,08:08:28,The Food Lab's Guide to Sous Vide Steak - Serious Eats,https://www.seriouseats.com/how-to-sous-vide-steak,2,0,link
26,27,2025-01-01,07:59:35,Amazon.com: Online Shopping,https://www.amazon.com/,4,0,link
27,28,2025-01-01,07:58:03,KitchenAid Stand Mixer - Amazon.com,https://www.amazon.com/KitchenAid-Stand-Mixer/dp/B008C23,3,0,link
28,29,2025-01-01,07:59:13,Main Dish Recipes - Epicurious,https://www.epicurious.com/recipes/main-dishes,2,0,generated
29,30,2025-01-01,08:00:41,Best Thai Fusion Near Me - Yelp,https://www.yelp.com/search?find_desc=thai+fusion,3,0,generated
30,31,2025-01-01,07:49:07,Best Local Farmers Market Schedule,https://www.google.com/search?q=best+local+farmers+market,5,0,link
31,32,2025-01-01,07:49:05,KitchenAid Stand Mixer - Amazon.com,https://www.amazon.com/KitchenAid-Stand-Mixer/dp/B008C23,3,0,link
32,33,2025-01-01,07:46:09,Gmail: Inbox,https://mail.google.com/mail/u/0/#inbox,4,0,reload
33,34,2025-01-01,07:43:12,X (Twitter): Home,https://twitter.com/home,2,0,typed
34,35,2025-01-01,07:41:03,Chopped TV Show - Food Network,https://www.foodnetwork.com/shows/chopped,4,0,link
35,36,2025-01-01,07:45:07,The Weather Channel - Weather.com,https://www.weather.com/,5,0,link
36,37,2025-01-01,07:43:49,The Best Chocolate Chip Cookies Recipe - Allrecipes,https://www.allrecipes.com/recipe/best-chocolate-chip-cookies/,5,0,generated
37,38,2025-01-01,07:35:24,"Flour, Grains & Seeds | King Arthur Baking",https://www.kingarthurbaking.com/shop/ingredients/flour,1,0,link
38,39,2025-01-01,07:39:58,The Weather Channel - Weather.com,https://www.weather.com/,4,0,link
39,40,2025-01-01,07:37:00,X (Twitter): Home,https://twitter.com/home,2,0,link
40,41,2025-01-01,07:34:45,CNN Breaking News and Video,https://www.cnn.com/,2,0,link
41,42,2025-01-01,07:29:57,Amazon.com: Online Shopping,https://www.amazon.com/,5,0,typed
42,43,2025-01-01,07:26:39,The Best Chocolate Chip Cookies Recipe - Allrecipes,https://www.allrecipes.com/recipe/best-chocolate-chip-cookies/,5,0,link
43,44,2025-01-01,07:27:08,Chopped TV Show - Food Network,https://www.foodnetwork.com/shows/chopped,1,0,typed
44,45,2025-01-01,07:24:29,CNN Breaking News and Video,https://www.cnn.com/,1,0,generated
45,46,2025-01-01,07:22:07,The Food Lab's Guide to Sous Vide Steak - Serious Eats,https://www.seriouseats.com/how-to-sous-vide-steak,4,0,link
46,47,2025-01-01,07:26:24,X (Twitter): Home,https://twitter.com/home,3,0,link
47,48,2025-01-01,07:18:14,Amazon.com: Online Shopping,https://www.amazon.com/,4,0,link
48,49,2025-01-01,07:22:46,CNN Breaking News and Video,https://www.cnn.com/,1,0,link
49,50,2025-01-01,07:19:55,Chopped TV Show - Food Network,https://www.foodnetwork.com/shows/chopped,1,0,link
50,51,2025-01-01,07:16:21,Gmail: Inbox,https://mail.google.com/mail/u/0/#inbox,5,0,link
51,52,2025-01-01,07:07:27,Gmail: Inbox,https://mail.google.com/mail/u/0/#inbox,3,0,link
52,53,2025-01-01,07:11:28,KitchenAid Stand Mixer - Amazon.com,https://www.amazon.com/KitchenAid-Stand-Mixer/dp/B008C23,4,0,link
53,54,2025-01-01,07:12:53,Best Thai Fusion Near Me - Yelp,https://www.yelp.com/search?find_desc=thai+fusion,5,0,link
54,55,2025-01-01,07:04:45,Amazon.com: Online Shopping,https://www.amazon.com/,3,0,link
55,56,2025-01-01,07:03:10,Chopped TV Show - Food Network,https://www.foodnetwork.com/shows/chopped,5,0,generated
56,57,2025-01-01,06:58:59,X (Twitter): Home,https://twitter.com/home,4,0,link
57,58,2025-01-01,06:55:13,CNN Breaking News and Video,https://www.cnn.com/,3,0,link
58,59,2025-01-01,07:02:15,Bon Appétit | Cacio e Pepe Recipe,https://www.bonappetit.com/recipe/cacio-e-pepe,4,0,link
59,60,2025-01-01,06:51:04,Gmail: Inbox,https://mail.google.com/mail/u/0/#inbox,2,0,link
60,61,2025-01-01,06:55:46,"Flour, Grains & Seeds | King Arthur Baking",https://www.kingarthurbaking.com/shop/ingredients/flour,3,0,link
61,62,2025-01-01,06:52:50,MICHELIN Guide New York Restaurants,https://guide.michelin.com/us/en/restaurants,2,0,link
62,63,2025-01-01,06:52:00,The Weather Channel - Weather.com,https://www.weather.com/,1,0,link
63,64,2025-01-01,06:45:46,The Food Lab's Guide to Sous Vide Steak - Serious Eats,https://www.seriouseats.com/how-to-sous-vide-steak,1,0,link
64,65,2025-01-01,06:50:18,MICHELIN Guide New York Restaurants,https://guide.michelin.com/us/en/restaurants,1,0,link
65,66,2025-01-01,06:48:00,Chopped TV Show - Food Network,https://www.foodnetwork.com/shows/chopped,2,0,link
66,67,2025-01-01,06:37:14,Bon Appétit | Cacio e Pepe Recipe,https://www.bonappetit.com/recipe/cacio-e-pepe,2,0,link
67,68,2025-01-01,06:44:38,The Weather Channel - Weather.com,https://www.weather.com/,2,0,link
68,69,2025-01-01,06:41:23,Mastering Knife Skills: A Beginner's Guide,https://www.gourmetsleuth.com/articles/techniques/knife-skills,2,0,typed
69,70,2025-01-01,06:39:56,Best Local Farmers Market Schedule,https://www.google.com/search?q=best+local+farmers+market,1,0,reload
70,71,2025-01-01,06:34:20,Amazon.com: Online Shopping,https://www.amazon.com/,2,0,link
71,72,2025-01-01,06:31:24,Gmail: Inbox,https://mail.google.com/mail/u/0/#inbox,2,0,link
72,73,2025-01-01,06:31:23,Bon Appétit | Cacio e Pepe Recipe,https://www.bonappetit.com/recipe/cacio-e-pepe,5,0,link
73,74,2025-01-01,06:25:37,Gmail: Inbox,https://mail.google.com/mail/u/0/#inbox,2,0,link
74,75,2025-01-01,06:26:43,CNN Breaking News and Video,https://www.cnn.com/,1,0,link
75,76,2025-01-01,06:24:43,Gmail: Inbox,https://mail.google.com/mail/u/0/#inbox,3,0,link
76,77,2025-01-01,06:21:22,X (Twitter): Home,https://twitter.com/home,5,0,link
77,78,2025-01-01,06:21:49,The Food Lab's Guide to Sous Vide Steak - Serious Eats,https://www.seriouseats.com/how-to-sous-vide-steak,3,0,link
78,79,2025-01-01,06:18:25,The Best Chocolate Chip Cookies Recipe - Allrecipes,https://www.allrecipes.com/recipe/best-chocolate-chip-cookies/,3,0,typed
79,80,2025-01-01,06:12:19,CNN Breaking News and Video,https://www.cnn.com/,3,0,link
