order,id,date,time,title,url,visitCount,typedCount,transition
0,1,2025-01-01,08:51:05,CNN Breaking News and Video,https://www.cnn.com/,3,0,link
1,2,2025-01-01,08:56:45,The Weather Channel - Weather.com,https://www.weather.com/,3,0,link
2,3,2025-01-01,08:51:09,Prada Designer Clothing & Accessories - Farfetch,https://www.farfetch.com/shopping/women/designers/prada,2,0,link
3,4,2025-01-01,08:46:52,Prada Designer Clothing & Accessories - Farfetch,https://www.farfetch.com/shopping/women/designers/prada,3,0,link
4,5,2025-01-01,08:42:26,The Weather Channel - Weather.com,https://www.weather.com/,5,0,link
5,6,2025-01-01,08:47:23,Prada Designer Clothing & Accessories - Farfetch,https://www.farfetch.com/shopping/women/designers/prada,5,0,link
6,7,2025-01-01,08:43:26,How to Style Wide Leg Pants,https://www.google.com/search?q=how+to+style+wide+leg+pants,5,0,link
7,8,2025-01-01,08:43:20,Designer Jewelry & Fine Jewellery | NET-A-PORTER,https://www.net-a-porter.com/en-us/shop/jewelry,4,0,link
8,9,2025-01-01,08:41:33,Gucci Bags for Women | Designer Crossbody Bags,https://www.gucci.com/us/en/category/bags,5,0,link
9,10,2025-01-01,08:37:05,Wedding Guest Dresses | Lulus,https://www.lulus.com/clothing/wedding-guest-dresses,3,0,link
10,11,2025-01-01,08:37:54,CNN Breaking News and Video,https://www.cnn.com/,4,0,reload
11,12,2025-01-01,08:36:35,Gmail: Inbox,https://mail.google.com/mail/u/0/#inbox,4,0,link
12,13,2025-01-01,08:26:50,The Weather Channel - Weather.com,https://www.weather.com/,2,0,typed
13,14,2025-01-01,08:31:07,Gmail: Inbox,https://mail.google.com/mail/u/0/#inbox,5,0,typed
14,15,2025-01-01,08:24:10,New In | Women's Dresses | ZARA United States,https://www.zara.com/us/en/new-in-dresses,4,0,link
15,16,2025-01-01,08:26:21,How to Style Wide Leg Pants,https://www.google.com/search?q=how+to+style+wide+leg+pants,1,0,reload
16,17,2025-01-01,08:26:55,Gucci Bags for Women | Designer Crossbody Bags,https://www.gucci.com/us/en/category/bags,4,0,generated
17,18,2025-01-01,08:21:48,New In | Women's Dresses | ZARA United States,https://www.zara.com/us/en/new-in-dresses,3,0,link
18,19,2025-01-01,08:21:16,How to Style Wide Leg Pants,https://www.google.com/search?q=how+to+style+wide+leg+pants,5,0,typed
19,20,2025-01-01,08:14:36,Prada Designer Clothing & Accessories - Farfetch,https://www.farfetch.com/shopping/women/designers/prada,1,0,link
20,21,2025-01-01,08:11:56,Gucci Bags for Women | Designer Crossbody Bags,https://www.gucci.com/us/en/category/bags,1,0,link
21,22,2025-01-01,08:13:00,Minimalist Men's Outfits on Pinterest,https://www.pinterest.com/style/outfits-men/,1,0,typed
22,23,2025-01-01,08:09:44,Women's Sale | ASOS,https://www.asos.com/us/sale/women/cat/?cid=7032,5,0,link
23,24,2025-01-01,08:07:24,CNN Breaking News and Video,https://www.cnn.com/,3,0,link
24,25,2025-01-01,08:07:36,New In | Women's Dresses | ZARA United States,https://www.zara.com/us/en/new-in-dresses,3,0,link
25,26,2025-01-01,08:02:10,New In | Women's Dresses | ZARA United States,https://www.zara.com/us/en/new-in-dresses,4,0,link
26,27,2025-01-01,08:01:18,Prada Designer Clothing & Accessories - Farfetch,https://www.farfetch.com/shopping/women/designers/prada,4,0,link
27,28,2025-01-01,07:55:44,Fall 2025 Ready-to-Wear Fashion Week Trends - Vogue,https://www.vogue.com/fashion-shows/fall-2025/trends,4,0,link
28,29,2025-01-01,08:00:47,How to Style Wide Leg Pants,https://www.google.com/search?q=how+to+style+wide+leg+pants,1,0,link
29,30,2025-01-01,07:58:37,Summer Clothing Haul 2024 - YouTube,https://www.youtube.com/watch?v=summer_haul_video,2,0,generated
30,31,2025-01-01,07:57:25,New In | Women's Dresses | ZARA United States,https://www.zara.com/us/en/new-in-dresses,1,0,link
31,32,2025-01-01,07:57:00,CNN Breaking News and Video,https://www.cnn.com/,1,0,link
32,33,2025-01-01,07:51:18,Fall 2025 Ready-to-Wear Fashion Week Trends - Vogue,https://www.vogue.com/fashion-shows/fall-2025/trends,4,0,typed
33,34,2025-01-01,07:45:44,Amazon.com: Online Shopping,https://www.amazon.com/,5,0,link
34,35,2025-01-01,07:42:52,Designer Jewelry & Fine Jewellery | NET-A-PORTER,https://www.net-a-porter.com/en-us/shop/jewelry,4,0,link
35,36,2025-01-01,07:39:55,Gucci Bags for Women | Designer Crossbody Bags,https://www.gucci.com/us/en/category/bags,4,0,link
36,37,2025-01-01,07:37:31,The Best Watches for Men Right Now | GQ,https://www.gq.com/story/best-watches-for-men,1,0,link
37,38,2025-01-01,07:44:07,CNN Breaking News and Video,https://www.cnn.com/,5,0,link
38,39,2025-01-01,07:38:22,New In | Women's Dresses | ZARA United States,https://www.zara.com/us/en/new-in-dresses,2,0,link
39,40,2025-01-01,07:33:09,CNN Breaking News and Video,https://www.cnn.com/,3,0,link
40,41,2025-01-01,07:31:34,Wedding Guest Dresses | Lulus,https://www.lulus.com/clothing/wedding-guest-dresses,1,0,link
41,42,2025-01-01,07:36:56,New In | Women's Dresses | ZARA United States,https://www.zara.com/us/en/new-in-dresses,2,0,link
42,43,2025-01-01,07:25:19,Designer Jewelry & Fine Jewellery | NET-A-PORTER,https://www.net-a-porter.com/en-us/shop/jewelry,1,0,typed
